Airline Name,Travel Time,Number of Stops,Ticket Price ($),Departure Airport,Departure Time,1st Stop: Departure Time,1st Stop,2nd Stop: Departure Time,2nd Stop,Destination Airport,Arrival Time,Arrival Date
British,1 days 13:00:00,2 Stops,1460.0,DAC,10:50:00,0 days 12:10:00,DOH,0 days 04:00:00,LHR,EWR,13:50:00,1-04-08
British,1 days 11:45:00,2 Stops,1473.0,DAC,10:50:00,0 days 11:35:00,DOH,0 days 03:30:00,LGW,JFK,12:35:00,1-04-08
British,1 days 12:40:00,2 Stops,1473.0,DAC,10:50:00,0 days 11:35:00,DOH,0 days 04:10:00,LGW,JFK,13:30:00,1-04-08
British,1 days 13:00:00,2 Stops,1473.0,DAC,10:50:00,0 days 11:35:00,DOH,0 days 04:40:00,LGW,EWR,13:50:00,1-04-08
British,1 days 11:45:00,2 Stops,1477.0,DAC,10:50:00,0 days 12:05:00,DOH,0 days 03:05:00,LGW,JFK,12:35:00,1-04-08
British,1 days 13:00:00,2 Stops,1477.0,DAC,10:50:00,0 days 12:05:00,DOH,0 days 04:15:00,LGW,EWR,13:50:00,1-04-08
British,1 days 18:40:00,2 Stops,1477.0,DAC,10:50:00,0 days 12:05:00,DOH,0 days 10:00:00,LGW,EWR,19:30:00,1-04-08
Emirates,1 days 18:40:00,2 Stops,1477.0,DAC,10:15:00,0 days 02:40:00,DXB,0 days 19:40:00,MXP,JFK,18:55:00,1-04-08
Qatar,2 days 02:30:00,2 Stops,1480.0,DAC,05:30:00,0 days 23:45:00,DOH,0 days 03:46:00,ATL,LGA,22:00:00,
Multiple,0 days 21:55:00,1 Stop,1536.0,DAC,10:50:00,0 days 02:10:00,DOH,,,JFK,22:45:00,1-04-08
American,1 days 21:49:00,2 Stops,1564.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 02:27:00,DFW,LGA,16:54:00,1-04-08
American,1 days 22:27:00,2 Stops,1564.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 03:12:00,DFW,EWR,17:32:00,1-04-08
American,2 days 00:20:00,2 Stops,1564.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 05:02:00,DFW,LGA,19:25:00,1-04-08
American,2 days 02:32:00,2 Stops,1564.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 07:15:00,DFW,EWR,21:37:00,1-04-08
American,2 days 03:55:00,2 Stops,1564.0,DAC,05:05:00,0 days 17:50:00,DOH,0 days 08:36:00,DFW,LGA,23:00:00,1-04-08
British,1 days 00:50:00,2 Stops,1573.0,DAC,20:15:00,0 days 02:10:00,DOH,0 days 02:00:00,LHR,JFK,11:05:00,1-04-08
British,1 days 02:20:00,2 Stops,1573.0,DAC,20:15:00,0 days 02:10:00,DOH,0 days 03:25:00,LHR,JFK,12:35:00,1-04-08
British,1 days 02:20:00,2 Stops,1573.0,DAC,20:15:00,0 days 02:45:00,DOH,0 days 02:50:00,LHR,JFK,12:35:00,1-04-08
British,1 days 03:15:00,2 Stops,1573.0,DAC,20:15:00,0 days 02:10:00,DOH,0 days 04:05:00,LHR,JFK,13:30:00,1-04-08
British,1 days 03:15:00,2 Stops,1573.0,DAC,20:15:00,0 days 02:45:00,DOH,0 days 03:30:00,LHR,JFK,13:30:00,1-04-08
British,1 days 10:15:00,2 Stops,1573.0,DAC,10:50:00,0 days 03:10:00,DOH,0 days 10:25:00,LHR,JFK,11:05:00,1-04-08
British,1 days 11:45:00,2 Stops,1573.0,DAC,10:50:00,0 days 03:10:00,DOH,0 days 11:50:00,LHR,JFK,12:35:00,1-04-08
British,1 days 12:40:00,2 Stops,1573.0,DAC,10:50:00,0 days 03:10:00,DOH,0 days 12:30:00,LHR,JFK,13:30:00,1-04-08
British,1 days 13:00:00,2 Stops,1573.0,DAC,10:50:00,0 days 03:10:00,DOH,0 days 13:00:00,LHR,EWR,13:50:00,
Qatar,0 days 21:40:00,1 Stop,1586.0,DAC,10:50:00,0 days 01:45:00,DOH,,,JFK,22:30:00,1-04-08
Qatar,1 days 14:30:00,1 Stop,1590.0,DAC,10:50:00,0 days 18:35:00,DOH,,,JFK,15:20:00,1-04-08
Emirates,0 days 23:20:00,1 Stop,1600.0,DAC,19:30:00,0 days 04:20:00,DXB,,,JFK,08:50:00,1-04-08
Emirates,1 days 08:35:00,1 Stop,1600.0,DAC,10:15:00,0 days 13:45:00,DXB,,,JFK,08:50:00,1-04-08
Emirates,1 days 17:10:00,1 Stop,1600.0,DAC,01:40:00,0 days 22:20:00,DXB,,,JFK,08:50:00,1-04-08
Emirates,1 days 18:40:00,1 Stop,1600.0,DAC,10:15:00,0 days 20:40:00,DXB,,,JFK,18:55:00,1-04-08
Emirates,1 days 21:05:00,1 Stop,1600.0,DAC,10:15:00,0 days 21:45:00,DXB,,,EWR,21:20:00,
American,1 days 03:40:00,1 Stop,1600.0,DAC,05:05:00,0 days 07:55:00,DOH,,,JFK,22:45:00,
Multiple,1 days 04:25:00,2 Stops,1603.0,DAC,01:40:00,0 days 03:55:00,DXB,0 days 03:55:00,FRA,JFK,20:05:00,1-04-08
Qatar,2 days 03:30:00,2 Stops,1610.0,DAC,05:30:00,0 days 23:45:00,DOH,0 days 06:54:00,BOS,JFK,23:00:00,1-04-08
Emirates,1 days 18:40:00,2 Stops,1619.0,DAC,10:15:00,0 days 04:20:00,DXB,0 days 17:50:00,BGY,JFK,18:55:00,1-04-08
Emirates,2 days 03:15:00,2 Stops,1619.0,DAC,01:40:00,0 days 12:55:00,DXB,0 days 17:50:00,BGY,JFK,18:55:00,1-04-08
Qatar,2 days 01:15:00,2 Stops,1625.0,DAC,05:30:00,0 days 23:40:00,DOH,0 days 02:45:00,ORD,EWR,20:45:00,1-04-08
Qatar,2 days 02:15:00,2 Stops,1625.0,DAC,05:30:00,0 days 23:40:00,DOH,0 days 03:30:00,ORD,LGA,21:45:00,1-04-08
Qatar,2 days 01:59:00,2 Stops,1640.0,DAC,05:30:00,0 days 23:45:00,DOH,0 days 03:11:00,ATL,JFK,21:29:00,1-04-08
Qatar,2 days 03:36:00,2 Stops,1640.0,DAC,05:30:00,0 days 23:45:00,DOH,0 days 04:50:00,ATL,JFK,23:06:00,1-04-09
Qatar,2 days 13:26:00,2 Stops,1652.0,DAC,05:30:00,0 days 23:45:00,DOH,0 days 14:45:00,ATL,JFK,08:56:00,
British,1 days 02:24:00,2 Stops,1670.0,DAC,03:35:00,0 days 02:35:00,DOH,0 days 03:05:00,LHR,JFK,19:59:00,1-04-08
Etihad,1 days 05:05:00,1 Stop,1677.0,DAC,20:55:00,0 days 09:30:00,AUH,,,JFK,16:00:00,1-04-08
British,1 days 03:15:00,2 Stops,1687.0,DAC,20:15:00,0 days 02:10:00,DOH,0 days 04:10:00,LGW,JFK,13:30:00,1-04-08
British,1 days 03:15:00,2 Stops,1687.0,DAC,20:15:00,0 days 02:40:00,DOH,0 days 03:45:00,LGW,JFK,13:30:00,
British,1 days 03:25:00,2 Stops,1689.0,DAC,03:35:00,0 days 02:35:00,DOH,0 days 03:55:00,LHR,JFK,21:00:00,
